timestamp_ms,roll,pitch,yaw,ang_vel_x,ang_vel_y,ang_vel_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,cmd_vx,cmd_vy,cmd_wz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44
20,0.035022,-0.099077,-0.006861,0.000562,-0.001142,-0.001823,-0.108625,0.000431,0.234124,-0.573661,0.521218,0.567717,-0.036816,-0.013279,0.249176,-0.559807,0.516472,0.494373,0.000479,-0.000144,-0.000192,0.000000,-0.000240,0.000096,-0.000096,-0.000144,-0.000000,-0.000671,-0.000000,-0.000144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.365794,-0.017948,1.572390,2.959622,-4.550495,-9.524946,1.483994,0.536215,0.074397,2.399679,-4.471126,-8.294199,0.000000,0.000000,0.000000,0.000140,-0.000286,-0.000456,-0.098915,-0.034843,-0.994486,-0.108625,0.000431,-0.015876,-0.073661,0.271218,0.567717,-0.036816,-0.013279,-0.000824,-0.059807,0.266472,0.494373,0.000024,-0.000007,-0.000010,0.000000,-0.000012,0.000005,-0.000005,-0.000007,-0.000000,-0.000034,-0.000000,-0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.035093,-0.098974,-0.006598,0.014332,0.083908,0.071510,-0.088683,-0.002684,0.241938,-0.573661,0.510480,0.547583,-0.032645,-0.017833,0.246875,-0.526874,0.518054,0.462975,1.892836,-0.657503,0.784967,-0.002349,-0.315952,-0.540153,0.383064,-0.451278,0.079959,3.214121,0.167012,-1.145260,0.000000,0.000000,0.000000,0.612063,-0.244132,0.305873,0.037244,-0.553960,-1.119181,0.133391,-0.213589,0.082233,1.410119,0.033653,-1.586726,49.193695,-18.199913,31.449051,5.932775,-11.816263,-24.582584,11.231875,-15.362548,8.656871,106.970856,-4.110209,-28.943703,0.000000,0.000000,0.000000,0.003583,0.020977,0.017878,-0.098812,-0.034914,-0.994493,-0.088683,-0.002684,-0.008062,-0.073661,0.260480,0.547583,-0.032645,-0.017833,-0.003125,-0.026874,0.268054,0.462975,0.094642,-0.032875,0.039248,-0.000117,-0.015798,-0.027008,0.019153,-0.022564,0.003998,0.160706,0.008351,-0.057263,0.612063,-0.244132,0.305873,0.037244,-0.553960,-1.119181,0.133391,-0.213589,0.082233,1.410119,0.033653,-1.586726
60,0.039505,-0.089127,-0.005885,0.148155,0.912864,-0.028875,-0.053306,-0.020325,0.270124,-0.575339,0.525101,0.489819,-0.025550,-0.025454,0.234795,-0.479800,0.471268,0.449792,0.930647,-1.319415,1.789053,-0.056134,1.494193,-4.076938,0.333305,-0.182304,-1.177282,2.170295,-3.400260,-1.388157,0.000000,0.000000,0.000000,0.837377,-0.191670,0.402093,-0.072088,0.064461,-1.308435,0.364137,-0.012591,-0.049062,1.825042,-0.263893,-2.600632,65.760208,-11.382385,33.069263,-2.589697,-4.891074,-24.280905,29.194975,0.667107,2.464880,139.441818,-3.803873,-45.398762,0.000000,0.000000,0.000000,0.037039,0.228216,-0.007219,-0.089009,-0.039338,-0.995254,-0.053306,-0.020325,0.020124,-0.075339,0.275101,0.489819,-0.025550,-0.025454,-0.015205,0.020200,0.221268,0.449792,0.046532,-0.065971,0.089453,-0.002807,0.074710,-0.203847,0.016665,-0.009115,-0.058864,0.108515,-0.170013,-0.069408,0.837377,-0.191670,0.402093,-0.072088,0.064461,-1.308435,0.364137,-0.012591,-0.049062,1.825042,-0.263893,-2.600632
80,0.033751,-0.075016,-0.005935,0.030019,0.384654,0.045869,-0.047889,-0.040603,0.305454,-0.576777,0.595280,0.343660,-0.019223,-0.017689,0.212313,-0.443896,0.463885,0.421078,0.299654,-0.762724,1.636614,-0.000144,4.454153,-8.034177,0.236329,0.776051,-1.059166,2.085447,-0.810325,-2.185060,0.000000,0.000000,0.000000,0.556741,-0.055140,0.146542,0.145034,0.213774,-1.365557,0.507918,0.171872,0.051352,1.527376,-0.032361,-2.864214,45.811722,-0.887853,0.759209,14.638585,-7.118172,-18.089657,40.695744,12.524693,16.105749,115.094330,-3.422606,-47.885548,0.000000,0.000000,0.000000,0.007505,0.096164,0.011467,-0.074945,-0.033650,-0.996620,-0.047889,-0.040603,0.055454,-0.076777,0.345280,0.343660,-0.019223,-0.017689,-0.037687,0.056104,0.213885,0.421078,0.014983,-0.038136,0.081831,-0.000007,0.222708,-0.401709,0.011816,0.038803,-0.052958,0.104272,-0.040516,-0.109253,0.556741,-0.055140,0.146542,0.145034,0.213774,-1.365557,0.507918,0.171872,0.051352,1.527376,-0.032361,-2.864214
100,0.033436,-0.065195,-0.011905,-0.043935,0.587121,-0.769502,-0.034083,-0.056613,0.332347,-0.583488,0.646189,0.151433,-0.018935,0.005513,0.198986,-0.367101,0.422084,0.383927,0.720827,-0.642067,1.000491,-0.458804,0.941960,-8.872498,0.048848,1.541315,-0.205841,4.411921,-1.917764,-1.668060,0.000000,0.000000,0.000000,0.392983,-0.009467,0.025161,0.234608,-0.144718,-1.182937,0.429211,0.258974,0.316344,1.579241,0.018089,-2.851622,31.202480,3.194682,-12.194998,22.830050,-11.756539,-10.788448,35.139484,17.536777,42.741665,111.458069,-0.924280,-47.607323,0.000000,0.000000,0.000000,-0.010984,0.146780,-0.192375,-0.065149,-0.033359,-0.997318,-0.034083,-0.056613,0.082347,-0.083488,0.396189,0.151433,-0.018935,0.005513,-0.051014,0.132899,0.172084,0.383927,0.036041,-0.032103,0.050025,-0.022940,0.047098,-0.443625,0.002442,0.077066,-0.010292,0.220596,-0.095888,-0.083403,0.392983,-0.009467,0.025161,0.234608,-0.144718,-1.182937,0.429211,0.258974,0.316344,1.579241,0.018089,-2.851622
120,0.037818,-0.042730,-0.033309,0.364705,1.214092,-1.216253,-0.028475,-0.065290,0.343660,-0.594226,0.566758,0.042232,-0.021428,0.037583,0.199513,-0.294333,0.385796,0.329231,-0.171135,-0.083266,-0.094819,-0.587563,-5.343431,-3.740996,-0.213319,1.632683,0.143619,3.206931,-1.719305,-2.790119,0.000000,0.000000,0.000000,0.178313,0.127252,-0.302086,0.236075,-0.834110,-0.532218,0.355517,0.204856,0.494497,1.305997,0.030791,-2.759562,15.383609,13.130994,-43.319107,24.337275,-13.351536,-3.732981,29.725477,10.802519,60.330822,88.666801,-0.060489,-43.948647,0.000000,0.000000,0.000000,0.091176,0.303523,-0.304063,-0.042717,-0.037775,-0.998373,-0.028475,-0.065290,0.093660,-0.094226,0.316758,0.042232,-0.021428,0.037583,-0.050487,0.205667,0.135796,0.329231,-0.008557,-0.004163,-0.004741,-0.029378,-0.267172,-0.187050,-0.010666,0.081634,0.007181,0.160347,-0.085965,-0.139506,0.178313,0.127252,-0.302086,0.236075,-0.834110,-0.532218,0.355517,0.204856,0.494497,1.305997,0.030791,-2.759562
140,0.041092,-0.020386,-0.054580,-0.303151,0.925111,-0.710659,-0.032885,-0.061120,0.334120,-0.596623,0.438431,0.015244,-0.020038,0.064331,0.197644,-0.233213,0.333497,0.248649,-0.282828,0.324053,-0.741392,0.092614,-7.699625,-0.040555,0.295052,1.115252,-0.356938,2.620039,-2.776793,-4.490297,0.000000,0.000000,0.000000,0.049786,0.155423,-0.626530,0.236090,-1.456581,0.062009,0.437121,0.137275,0.322206,0.682820,-0.318009,-2.596276,6.107642,14.097850,-74.519615,22.774988,-17.949186,1.544827,35.339607,5.350899,42.966377,37.230900,-2.964968,-38.553009,0.000000,0.000000,0.000000,-0.075788,0.231278,-0.177665,-0.020384,-0.041072,-0.998948,-0.032885,-0.061120,0.084120,-0.096623,0.188431,0.015244,-0.020038,0.064331,-0.052356,0.266787,0.083497,0.248649,-0.014141,0.016203,-0.037070,0.004631,-0.384981,-0.002028,0.014753,0.055763,-0.017847,0.131002,-0.138840,-0.224515,0.049786,0.155423,-0.626530,0.236090,-1.456581,0.062009,0.437121,0.137275,0.322206,0.682820,-0.318009,-2.596276
160,0.030132,-0.003304,-0.049475,-0.695502,0.781375,0.795582,-0.034658,-0.057380,0.319931,-0.581714,0.267440,0.106132,-0.018791,0.080103,0.179620,-0.196397,0.314850,0.133313,0.023154,0.131443,-0.699543,1.097420,-8.907251,5.670024,-0.120753,0.677157,-1.164004,1.383555,-0.783864,-6.040960,0.000000,0.000000,0.000000,0.079431,0.127170,-0.505188,0.286153,-1.483093,0.286234,0.159971,0.144744,0.047981,0.392182,-0.750705,-2.428322,7.658381,12.123543,-59.594021,23.972807,-13.845923,-3.208133,13.854336,6.568735,19.395761,15.604559,-11.471565,-32.480900,0.000000,0.000000,0.000000,-0.173876,0.195344,0.198895,-0.003304,-0.030127,-0.999541,-0.034658,-0.057380,0.069931,-0.081714,0.017440,0.106132,-0.018791,0.080103,-0.070380,0.303603,0.064850,0.133313,0.001158,0.006572,-0.034977,0.054871,-0.445363,0.283501,-0.006038,0.033858,-0.058200,0.069178,-0.039193,-0.302048,0.079431,0.127170,-0.505188,0.286153,-1.483093,0.286234,0.159971,0.144744,0.047981,0.392182,-0.750705,-2.428322
180,0.025895,0.006860,-0.031404,0.020455,0.330523,0.889961,-0.036911,-0.052107,0.309433,-0.532195,0.074782,0.181873,-0.027564,0.098654,0.152008,-0.168834,0.300469,0.004554,-0.064667,0.218832,-0.300900,3.056169,-8.034896,1.821602,-0.733099,1.165586,-1.658904,1.177570,-1.097803,-5.912250,0.000000,0.000000,0.000000,0.362589,0.089980,-0.088042,0.172263,-0.771544,-0.109685,0.008823,0.358644,-0.301860,0.122077,-1.238114,-2.182401,30.651937,8.783287,-13.909386,7.357013,0.428659,-6.854693,3.589273,21.977160,-14.068309,-6.498940,-18.309315,-26.504427,0.000000,0.000000,0.000000,0.005114,0.082631,0.222490,0.006860,-0.025892,-0.999641,-0.036911,-0.052107,0.059433,-0.032195,-0.175218,0.181873,-0.027564,0.098654,-0.097992,0.331166,0.050469,0.004554,-0.003233,0.010942,-0.015045,0.152808,-0.401745,0.091080,-0.036655,0.058279,-0.082945,0.058879,-0.054890,-0.295612,0.362589,0.089980,-0.088042,0.172263,-0.771544,-0.109685,0.008823,0.358644,-0.301860,0.122077,-1.238114,-2.182401
200,0.019005,0.018044,-0.017707,-0.277220,0.529232,0.797349,-0.037583,-0.044821,0.300229,-0.472466,0.095538,0.135613,-0.039117,0.129765,0.119459,-0.155220,0.263365,-0.088731,0.055032,0.320650,-0.193186,2.885514,3.810744,-4.573324,-0.327936,1.872415,-1.535179,0.207471,-2.484905,-3.783276,0.000000,0.000000,0.000000,0.410956,-0.026974,0.065446,0.080854,0.244911,-0.531533,0.214696,0.357943,-0.188453,-0.057045,-1.464177,-1.567374,34.366219,-1.322056,3.562355,-1.637353,5.189181,-8.182447,19.981752,19.409637,1.552651,-19.610188,-20.239769,-17.452930,0.000000,0.000000,0.000000,-0.069305,0.132308,0.199337,0.018043,-0.019001,-0.999657,-0.037583,-0.044821,0.050229,0.027534,-0.154462,0.135613,-0.039117,0.129765,-0.130541,0.344780,0.013365,-0.088731,0.002752,0.016032,-0.009659,0.144276,0.190537,-0.228666,-0.016397,0.093621,-0.076759,0.010374,-0.124245,-0.189164,0.410956,-0.026974,0.065446,0.080854,0.244911,-0.531533,0.214696,0.357943,-0.188453,-0.057045,-1.464177,-1.567374
