timestamp_ms,roll,pitch,yaw,ang_vel_x,ang_vel_y,ang_vel_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,cmd_vx,cmd_vy,cmd_wz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44
20,0.037048,-0.116285,-0.031338,-0.001498,0.000700,-0.000596,-0.019319,-0.003404,-0.249128,-0.468631,0.448450,0.415038,0.031686,0.057189,-0.244191,-0.513308,0.380427,0.446149,-0.000383,-0.000479,0.000623,-0.000240,-0.000048,-0.000000,0.000192,0.000240,-0.000288,-0.000048,-0.000000,0.000048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.775588,0.137486,-0.089128,-1.261350,-3.330562,-6.963246,-1.272756,-2.296927,-0.573586,0.541583,-2.188308,-7.485534,-0.000374,0.000175,-0.000149,-0.116023,-0.036789,-0.992565,0.000000,0.000000,0.000000,-0.019319,-0.003404,0.000872,0.031369,0.198450,0.415038,0.031686,0.057189,0.005809,-0.013308,0.130427,0.446149,-0.000019,-0.000024,0.000031,-0.000012,-0.000002,-0.000000,0.000010,0.000012,-0.000014,-0.000002,-0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.037069,-0.116272,-0.031512,0.020281,0.006582,-0.048481,-0.020805,-0.003451,-0.244670,-0.464125,0.442745,0.393945,0.027851,0.052443,-0.246060,-0.499455,0.369258,0.432151,-0.479800,-0.000959,0.459140,0.528025,-0.086430,-1.330537,-0.421653,-0.555445,-0.524382,1.626691,-0.712774,-0.759177,0.000000,0.000000,0.000000,-0.186011,0.009106,0.234648,0.601070,-0.503794,-0.866568,-0.164833,-0.222117,-0.261115,0.651524,-0.431675,-1.124243,-13.019285,0.874899,23.306190,45.502514,-10.303457,-17.640030,-13.423214,-18.663885,-26.801647,48.607296,-7.593663,-22.825487,0.005070,0.001646,-0.012120,-0.116010,-0.036810,-0.992566,0.000000,0.000000,0.000000,-0.020805,-0.003451,0.005330,0.035875,0.192745,0.393945,0.027851,0.052443,0.003940,0.000545,0.119258,0.432151,-0.023990,-0.000048,0.022957,0.026401,-0.004322,-0.066527,-0.021083,-0.027772,-0.026219,0.081335,-0.035639,-0.037959,-0.186011,0.009106,0.234648,0.601070,-0.503794,-0.866568,-0.164833,-0.222117,-0.261115,0.651524,-0.431675,-1.124243
60,0.040237,-0.112352,-0.034271,0.296293,0.470142,-0.235403,-0.036576,-0.004266,-0.229138,-0.448641,0.436178,0.382632,0.010930,0.032070,-0.257086,-0.474240,0.354637,0.423043,-1.016742,-0.065817,0.946514,0.907350,-0.388241,-0.657742,-1.191520,-1.256426,-0.493271,0.632959,-0.809319,-0.372230,0.000000,0.000000,0.000000,-0.202921,-0.028945,0.345322,0.666267,-0.572854,-1.075267,-0.399124,-0.304191,-0.300302,0.262667,-0.520118,-1.176545,-12.364397,-1.973105,30.950203,49.021999,-11.121217,-21.632746,-29.584663,-22.781275,-30.006920,18.099449,-8.688654,-24.422848,0.074073,0.117536,-0.058851,-0.112116,-0.039973,-0.992891,0.000000,0.000000,0.000000,-0.036576,-0.004266,0.020862,0.051359,0.186178,0.382632,0.010930,0.032070,-0.007086,0.025760,0.104637,0.423043,-0.050837,-0.003291,0.047326,0.045367,-0.019412,-0.032887,-0.059576,-0.062821,-0.024664,0.031648,-0.040466,-0.018612,-0.202921,-0.028945,0.345322,0.666267,-0.572854,-1.075267,-0.399124,-0.304191,-0.300302,0.262667,-0.520118,-1.176545
80,0.050197,-0.101604,-0.034594,0.488385,0.328189,0.203732,-0.059346,-0.001342,-0.212984,-0.422564,0.424721,0.383735,-0.004314,0.004554,-0.261160,-0.471699,0.335798,0.384885,-1.132941,0.059010,0.729024,1.541459,-1.199094,0.107858,-0.415517,-1.453974,0.042472,-0.107475,-0.749637,-2.319235,0.000000,0.000000,0.000000,-0.202955,-0.044794,0.344010,0.748592,-0.575171,-1.105713,-0.319887,-0.239833,-0.187598,0.083173,-0.537162,-1.060375,-10.893669,-3.675139,30.245256,53.033543,-10.399072,-23.151623,-24.265867,-15.771807,-19.991430,5.700136,-8.700947,-20.164263,0.122096,0.082047,0.050933,-0.101430,-0.049917,-0.993590,0.000000,0.000000,0.000000,-0.059346,-0.001342,0.037016,0.077436,0.174721,0.383735,-0.004314,0.004554,-0.011160,0.028301,0.085798,0.384885,-0.056647,0.002951,0.036451,0.077073,-0.059955,0.005393,-0.020776,-0.072699,0.002124,-0.005374,-0.037482,-0.115962,-0.202955,-0.044794,0.344010,0.748592,-0.575171,-1.105713,-0.319887,-0.239833,-0.187598,0.083173,-0.537162,-1.060375
101,0.059847,-0.101961,-0.021018,0.340302,-0.091222,0.943243,-0.072241,-0.000000,-0.201191,-0.393754,0.407847,0.377455,-0.014237,-0.029961,-0.258380,-0.478075,0.323958,0.324485,-0.418202,0.010642,0.436993,1.309780,-1.067938,-0.396918,-0.405594,-1.872655,0.207902,-0.460242,-0.406601,-3.160672,0.000000,0.000000,0.000000,-0.213257,-0.112474,0.212763,0.753896,-0.581158,-1.059749,-0.087479,-0.191054,-0.081050,0.133906,-0.552327,-1.014573,-12.779080,-8.935931,16.247850,52.454971,-10.622733,-21.694540,-5.270220,-10.027820,-9.370939,10.663981,-8.935445,-17.541067,0.085075,-0.022806,0.235811,-0.101785,-0.059500,-0.993025,0.000000,0.000000,0.000000,-0.072241,-0.000000,0.048809,0.106246,0.157847,0.377455,-0.014237,-0.029961,-0.008380,0.021925,0.073958,0.324485,-0.020910,0.000532,0.021850,0.065489,-0.053397,-0.019846,-0.020280,-0.093633,0.010395,-0.023012,-0.020330,-0.158034,-0.213257,-0.112474,0.212763,0.753896,-0.581158,-1.059749,-0.087479,-0.191054,-0.081050,0.133906,-0.552327,-1.014573
121,0.063892,-0.108523,-0.004697,0.284730,-0.299206,0.625406,-0.075501,-0.001103,-0.195055,-0.374867,0.391692,0.364704,-0.018456,-0.072960,-0.255983,-0.480567,0.303968,0.268638,-0.043910,-0.163369,0.097887,0.845847,-0.740146,-1.026377,0.082451,-2.102992,0.261304,0.240212,-1.287250,-2.475989,0.000000,0.000000,0.000000,-0.182671,-0.181714,0.001026,0.695108,-0.513908,-0.958800,0.099045,-0.145270,0.056392,0.278359,-0.637325,-1.032744,-11.395883,-14.178086,-6.211175,48.543873,-9.348948,-19.801357,8.769150,-3.693258,5.546985,21.303171,-9.201175,-17.085489,0.071183,-0.074802,0.156351,-0.108310,-0.063473,-0.992089,0.000000,0.000000,0.000000,-0.075501,-0.001103,0.054945,0.125133,0.141692,0.364704,-0.018456,-0.072960,-0.005983,0.019433,0.053968,0.268638,-0.002196,-0.008168,0.004894,0.042292,-0.037007,-0.051319,0.004123,-0.105150,0.013065,0.012011,-0.064362,-0.123799,-0.182671,-0.181714,0.001026,0.695108,-0.513908,-0.958800,0.099045,-0.145270,0.056392,0.278359,-0.637325,-1.032744
141,0.068709,-0.112816,0.004495,0.431639,-0.108498,0.389055,-0.077322,-0.004506,-0.192275,-0.359143,0.381913,0.348933,-0.014669,-0.113754,-0.247978,-0.469254,0.281198,0.223290,-0.076555,-0.147406,-0.116678,0.768093,-0.558129,-0.833239,0.498112,-2.025142,0.373860,0.766943,-0.934865,-2.122167,0.000000,0.000000,0.000000,-0.107093,-0.106158,-0.050678,0.607875,-0.401979,-0.856337,0.153035,-0.081946,0.049298,0.402933,-0.619802,-0.992818,-5.384514,-7.988205,-10.908112,41.042904,-7.967102,-18.103001,11.672884,3.049064,3.270595,29.270502,-8.630640,-16.379686,0.107910,-0.027124,0.097264,-0.112577,-0.068218,-0.991299,0.000000,0.000000,0.000000,-0.077322,-0.004506,0.057725,0.140857,0.131913,0.348933,-0.014669,-0.113754,0.002022,0.030746,0.031198,0.223290,-0.003828,-0.007370,-0.005834,0.038405,-0.027906,-0.041662,0.024906,-0.101257,0.018693,0.038347,-0.046743,-0.106108,-0.107093,-0.106158,-0.050678,0.607875,-0.401979,-0.856337,0.153035,-0.081946,0.049298,0.402933,-0.619802,-0.992818
161,0.074050,-0.114849,0.010711,0.024675,0.019287,0.231031,-0.079431,-0.008629,-0.195535,-0.346584,0.371080,0.336613,-0.011697,-0.150234,-0.238726,-0.450415,0.278801,0.197931,0.001294,-0.239589,-0.134942,0.599307,-0.436801,-0.704289,-0.102201,-1.672327,0.530134,1.140946,-0.168402,-0.918471,0.000000,0.000000,0.000000,-0.012144,-0.090411,-0.023074,0.577980,-0.225449,-0.814488,0.116431,-0.031551,0.050549,0.410124,-0.523390,-0.893943,2.258638,-6.331532,-7.120873,38.594063,-5.018624,-17.324366,9.995770,7.633552,1.319256,28.193157,-8.205490,-15.748499,0.006169,0.004822,0.057758,-0.114596,-0.073495,-0.990690,0.000000,0.000000,0.000000,-0.079431,-0.008629,0.054465,0.153416,0.121080,0.336613,-0.011697,-0.150234,0.011274,0.049585,0.028801,0.197931,0.000065,-0.011979,-0.006747,0.029965,-0.021840,-0.035214,-0.005110,-0.083616,0.026507,0.057047,-0.008420,-0.045924,-0.012144,-0.090411,-0.023074,0.577980,-0.225449,-0.814488,0.116431,-0.031551,0.050549,0.410124,-0.523390,-0.893943
181,0.072332,-0.112187,0.012161,-0.083683,0.225679,0.019385,-0.077035,-0.015771,-0.197884,-0.334312,0.364608,0.321992,-0.012751,-0.176552,-0.229234,-0.417770,0.274199,0.196302,0.133696,-0.397541,-0.107762,0.554726,-0.171950,-0.378989,-0.066728,-1.155327,0.497441,1.832724,-0.104934,0.036720,0.000000,0.000000,0.000000,0.008849,-0.101934,-0.020961,0.461066,-0.094481,-0.731857,0.033999,0.006414,0.065567,0.449634,-0.458511,-0.852519,3.514923,-6.615820,-6.825086,28.747831,-3.226258,-16.026562,3.400720,10.742554,2.337373,28.294052,-7.100730,-16.059752,-0.020921,0.056420,0.004846,-0.111951,-0.071814,-0.991115,0.000000,0.000000,0.000000,-0.077035,-0.015771,0.052116,0.165688,0.114608,0.321992,-0.012751,-0.176552,0.020766,0.082230,0.024199,0.196302,0.006685,-0.019877,-0.005388,0.027736,-0.008597,-0.018949,-0.003336,-0.057766,0.024872,0.091636,-0.005247,0.001836,0.008849,-0.101934,-0.020961,0.461066,-0.094481,-0.731857,0.033999,0.006414,0.065567,0.449634,-0.458511,-0.852519
201,0.071408,-0.107195,0.011756,-0.025759,0.255468,-0.201939,-0.074542,-0.024783,-0.199370,-0.329518,0.357993,0.315185,-0.015723,-0.191748,-0.217154,-0.373620,0.274343,0.208094,0.361684,-0.479177,-0.016778,0.041034,-0.218784,-0.155699,-0.167875,-0.492648,0.548782,2.336828,0.012368,0.716321,0.000000,0.000000,0.000000,0.064809,-0.101494,0.035155,0.327249,-0.037260,-0.655491,0.052679,0.024794,0.062492,0.488669,-0.382095,-0.874130,7.507275,-6.062029,-0.754111,18.863632,-1.947715,-14.801470,5.162661,11.365994,0.959058,28.957432,-6.154157,-17.204456,-0.006440,0.063867,-0.050485,-0.106990,-0.070938,-0.991726,0.000000,0.000000,0.000000,-0.074542,-0.024783,0.050630,0.170482,0.107993,0.315185,-0.015723,-0.191748,0.032846,0.126380,0.024343,0.208094,0.018084,-0.023959,-0.000839,0.002052,-0.010939,-0.007785,-0.008394,-0.024632,0.027439,0.116841,0.000618,0.035816,0.064809,-0.101494,0.035155,0.327249,-0.037260,-0.655491,0.052679,0.024794,0.062492,0.488669,-0.382095,-0.874130
